Ticker.Symbol,Period.Ending,current_ratio,quick_ratio,cash_ratio,debt_equity,debt_ratio,net_margin,gross_margin,operating_margin,roa,roe,interest_coverage,asset_turnover,inventory_turnover
LNT,2013-12-31,-0.9219124891225787,-0.777319372172953,-0.9072960840229204,0.17343322616606302,0.6183094510131995,0.1299311995419932,-0.7024221627069509,0.10653528685710448,-0.48832104509893487,-0.32972080473283594,-0.13559889464714434,-0.8223837568066393,-0.06330375337115876
LNT,2014-12-31,-0.8046139469349961,-0.6810936810362558,-0.8362250642028621,0.2532303345698682,0.6871781286872652,0.14459971884803632,-0.6947517788406633,0.10340083099851621,-0.5054106790176928,-0.329600470434917,-0.13583226514551755,-0.8470705120231633,-0.0796219406654962
LNT,2015-12-31,-0.9963604449564881,-0.8711952431103313,-0.9118626005548873,0.16844505896919879,0.6138271654231936,0.15585064516407704,-0.5884565151614529,0.17302793710922634,-0.5261452978499886,-0.36864371097772614,-0.13561583196855606,-0.872013873366975,-0.1075157472107787
LOW,2013-02-01,-0.49028834312244673,-1.1103918919850992,-0.7947537327165908,-0.36625291041245295,-0.03674317082021928,-0.3014485331023007,-0.5428828579589413,-0.3201810797365553,-0.13171822370979236,-0.1869501693571081,-9999.0,0.9788082384957258,-0.3632094010444558
LOW,2014-01-31,-0.5739976974621561,-1.1284439898789174,-0.8411841964056822,-0.10491632664902543,0.32990102941647076,-0.27864351765996115,-0.5301184581089804,-0.28692635795998295,0.003040076165625194,0.03372468038879839,-9999.0,1.1016360562237635,-0.36458274194257057
LOW,2015-01-30,-0.6552765638654238,-1.1541148067111657,-0.8308823322354435,0.16719229056952994,0.612698034211418,-0.249184909099849,-0.5214412751878746,-0.25203817050493965,0.21077855121644734,0.3671738628109242,-9999.0,1.3037718847635207,-0.35208456475758704
LOW,2016-01-29,-0.6914338532451217,-1.1503471232612812,-0.8508672497639288,0.7508967343121996,1.0227943824433663,-0.2769236884797764,-0.5199417300685606,-0.25703747419988265,0.1612987122561481,0.6327655307294495,-9999.0,1.4721016313702928,-0.3539849037989978
LRCX,2013-06-30,0.605880408171752,0.6610929252011605,0.5509791147008605,-0.8731274692666886,-1.3402367535958877,-0.3419212961348966,-0.3376368697536279,-0.4939656443190694,-0.7361096581534535,-0.6841155981304863,-9999.0,-0.5324253278847668,-0.36031941336662554
LRCX,2014-06-29,0.8528098300107472,0.8693793094184012,0.7118631286616075,-0.8629905873719329,-1.2477166585813968,0.25718679603501293,-0.1368955255729969,0.03340181942821094,0.12951160701052797,-0.2540757713868737,-9999.0,-0.41728498819390114,-0.37844095514226556
LRCX,2015-06-28,0.36234809290084086,0.43165390512631685,0.09430348629380529,-0.7039991812465645,-0.7498027133433817,0.18578096740952077,-0.14291582922925714,0.04609822853661502,0.0053012587585706955,-0.24226795422862518,-9999.0,-0.4385567047473548,-0.39403834568689006
LRCX,2016-06-26,1.4532294125266012,1.5705501228436116,2.7802477428659946,-0.5444151472590749,-0.3682970446794659,0.35964739078677954,-0.09648353537261843,0.19689394018842907,0.06647017392819309,-0.12825604951044015,-9999.0,-0.5565174233945789,-0.38496826813436097
LUK,2012-12-31,2.11694137886192,2.6161414275666157,-0.6551554971005669,-0.9972961365906142,-1.8064067457077522,0.10663319472991216,-1.8586952851486584,-0.7328149919932165,0.31222491266810404,-0.24525604895704736,-0.14932160853219298,-0.04452855761459722,-9999.0
LUK,2013-12-31,-0.41077286406027147,-0.10523009567285052,-0.46083387536200304,1.1653010287869208,1.206692968530913,-0.30585975249676434,-1.1421717624509198,-0.8305302645335559,-0.8472566496227251,-0.6391887050419962,-0.1463428967206034,-0.9601608718795227,-9999.0
LUK,2014-12-31,-0.46166992291584547,-0.16002656128364537,-0.5089175700990438,1.4046679644856628,1.2983557239685433,-0.41573978323954786,-0.9550866806754308,-0.8374904064768898,-0.8989335238745658,-0.7100463483298594,-0.14599025118069145,-0.9546146843477148,-9999.0
LUK,2015-12-31,-0.440800255089995,-0.13755799313763573,-0.6424061013576083,0.9825909937656857,1.1270355467494602,-0.38005900693518735,-0.9886947074741185,-0.8334346990041941,-0.8762884603508917,-0.6889609314612595,-0.14596993360169003,-0.9325614395708188,-9999.0
LUV,2013-12-31,-0.8610108551680806,-0.6577726585482164,-0.49534116405512674,-0.18542555594830198,0.22892748333655014,-0.2797447182037626,0.2786540177176479,-0.3121434379472806,-0.4183782119055542,-0.3523461760374294,-0.10968323364168577,0.06983468082820181,0.2448882948961425
LUV,2014-12-31,-0.9544444749857146,-0.7381431747298726,-0.534922455866353,-0.008143766196793184,0.43984208625346455,-0.1750215538776986,0.5269184470032846,-0.09347717999569713,-0.1641182602983704,-0.07422257284544802,-0.08377857456853281,0.11070384808263539,0.4483128312551952
LUV,2015-12-31,-1.046051610831242,-0.8237894928480048,-0.53971688642612,-0.017652739937818147,0.4295424673024688,0.10288589735511873,1.0024807668280737,0.31297995156686537,0.4467608380970205,0.4775153565686039,-0.010784150864126455,0.09153316254747976,0.314087540162178
