Date,Close,High,Low,Open,Volume,return_1d,volatility_21d,ma_20,ma_50,ma_200,rsi,macd,macd_signal,ema_50,ema_200,stoch_k,stoch_d,bb_upper,bb_lower,obv,anomaly
2018-03-16,71.77635192871094,71.98601807238475,71.18229230066302,71.35701297619678,1952200.0,0.008469200208985894,0.010663419869461855,70.18288803100586,71.02400573730469,,57.47229904934828,0.14967722230278468,-0.1737554484339612,71.44451400742346,74.8279507700224,88.71654471787976,76.54844314349447,72.00541615913784,68.36035990287388,-6121400.0,0
2018-03-19,71.21723937988281,72.1520090994689,70.6930706272007,71.77636026993335,1002800.0,-0.007789648453900844,0.010276452948702613,70.22744140625,70.92565872192382,,58.76389312729916,0.17854941641337518,-0.10329447546449391,71.43560127693168,74.79202329350359,74.55727582999897,78.90838569511381,72.10737948377243,68.34750332872756,-7124200.0,0
2018-03-20,71.1298828125,71.61037474934423,70.9376860377623,71.20851179542345,645400.0,-0.0012266210842130087,0.010085692967812214,70.29602088928223,70.84051162719726,,62.26155771893856,0.19216671506876537,-0.04420223735784205,71.42361231754221,74.7555840847374,72.34501082309113,78.53961045698996,72.20376309740034,68.38827868116412,-7769600.0,0
2018-03-21,70.6319351196289,71.67154151195939,70.40479282694137,71.13863459363611,570600.0,-0.007000541448714204,0.010042174510373548,70.38338241577148,70.73236999511718,,59.70315606039761,0.16092328164872072,-0.0031771335565294948,71.39256615291816,74.71455275175124,59.734713861881104,68.87900017165708,72.17552406471356,68.5912407668294,-8340200.0,0
2018-03-22,70.02040100097656,71.69774397229621,69.97671748670709,70.67561372400785,791200.0,-0.008658039987388011,0.009821851490374942,70.44497299194336,70.62572875976562,,56.909659002360485,0.08582757612344949,0.014623808379466302,71.3387557548028,74.6678447741316,37.15722619161531,56.412316958862526,72.08451327006902,68.8054327138177,-9131400.0,0
2018-03-23,69.2166748046875,71.30461880983212,69.03320937739147,70.55330768959439,784700.0,-0.01147845748952303,0.010175889826839481,70.38382072448731,70.52056716918945,,44.54551408899378,-0.0381010928795007,0.004078828127672903,71.25553689401397,74.6136042769232,5.7536179430064305,34.21518599883429,72.11297235007471,68.6546690988999,-9916100.0,0
2018-03-26,69.77577209472656,69.89807790629018,68.9196247486143,69.37390919027936,742400.0,0.00807749421099313,0.008828865421945897,70.34319648742675,70.44327239990234,,51.006748123459005,-0.09016164981170505,-0.014769267460202686,71.19750690188505,74.5654666432695,25.92593582094561,22.94559331852246,72.09020944643898,68.59618352841453,-9173700.0,0
2018-03-27,70.4921646118164,71.36578169545703,69.23415387851969,69.88936669125016,1111400.0,0.010267066856921137,0.00912010029907984,70.37508430480958,70.44826293945313,,52.75092064766114,-0.07277423123220217,-0.026370260214602585,71.16984641992157,74.52493627479734,47.619802542622615,26.433118768858225,72.10775481693061,68.64241379268854,-8062300.0,0
2018-03-28,70.92894744873047,71.13861360657302,70.38730265370633,70.59696881154886,846700.0,0.006196189878964864,0.008892593477386222,70.45501861572265,70.43783020019531,,52.13102549785967,-0.023479198560153236,-0.025792047883712716,71.16039940144348,74.48915529145339,60.84650218602679,44.797413516531684,72.13132520658942,68.77871202485588,-7215600.0,0
2018-03-29,71.75016784667969,72.1083540460939,71.06000955879836,71.06000955879836,1069600.0,0.011578071118887312,0.008979940491601581,70.5851879119873,70.43878112792969,,54.03998889350132,0.08092029409407075,-0.004449579488156021,71.18352757576648,74.46190168503773,85.7147768221208,64.72702718359007,72.23790913562279,68.93246668835182,-6146000.0,0
2018-04-02,70.93767547607422,71.91612860852926,70.29120096516344,71.88992117317927,927700.0,-0.011323908988500997,0.009379424115656048,70.68652648925782,70.42522048950195,,44.8022709653055,0.09697839359999705,0.015836015129474593,71.17388631695502,74.42683475758537,61.110805144839965,69.22402805099587,72.1440077948971,69.22904518361852,-7073700.0,0
2018-04-03,70.90275573730469,71.24346581880079,70.33490337975503,70.85033418734251,1058100.0,-0.0004922594169484151,0.009328220915527465,70.72889709472656,70.40053344726563,,52.497029561843085,0.10566873862615012,0.0338025598288097,71.16325374520403,74.391769294697,61.35195488636975,69.39251228444351,72.15811504514109,69.29967914431204,-8131800.0,0
2018-04-04,70.93767547607422,71.15607965754633,70.11648028605242,70.60570351969662,763400.0,0.0004925018556247718,0.008652976395943162,70.79485511779785,70.37741409301758,,50.0,0.11405883154135665,0.049853814171319094,71.15440753857149,74.3574002019744,62.43226387748025,61.63167463623,72.12675400712438,69.46295622847133,-7368400.0,0
2018-04-05,71.73269653320312,71.82005690519912,70.07282280460261,71.0425382636472,734100.0,0.011207317575510967,0.008796788104299274,70.87915992736816,70.34864334106446,,53.79156776355137,0.18275293360724731,0.07643363805850474,71.17708553836097,74.33128374755876,87.02776276729243,70.27066051038082,72.22501515430565,69.53330470043068,-6634300.0,0
2018-04-06,71.56670379638672,72.28306947734762,71.4793434284976,71.83752960156247,1216400.0,-0.0023140456840288204,0.00876515373500254,70.92808227539062,70.32437347412109,,48.48880808374112,0.2212488586865362,0.10539668218411104,71.19236468573453,74.30377548933814,78.70142848368766,76.05381837615346,72.30028940467706,69.55587514610419,-7850700.0,0
2018-04-09,71.7588882446289,72.26558762234498,71.15609047923677,71.5230146254398,728400.0,0.002685389127169646,0.008641342756467971,70.96215362548828,70.29039093017577,,54.12239617507598,0.26421908236983427,0.13716116222125568,71.21458129588726,74.27845322819675,84.4153457245565,83.38151232517889,72.38295630978605,69.54135094119052,-7122300.0,0
2018-04-10,71.46187591552734,72.2044490600246,71.34830143560855,72.00351420990066,657300.0,-0.004139031921579273,0.008587368874234154,70.9446807861328,70.24334197998047,,52.44859993990337,0.27118087715211914,0.16396510520742838,71.22427912410845,74.25042758329457,75.58474635230466,79.56717352018295,72.3296559925538,69.55970557971182,-7779600.0,0
2018-04-11,71.47059631347656,71.8462518463334,71.05126393480771,71.26966815937173,794300.0,0.00012202867385568972,0.008274270187831913,70.9909824371338,70.21732376098633,,56.66660601980727,0.27424053868801934,0.18602019190354657,71.23393862173073,74.22276757065957,75.84401619773195,78.61470275819771,72.38154149227006,69.60042338199753,-6985300.0,0
2018-04-12,70.45719146728516,71.17355692801992,70.1077434379877,70.67559565245023,2152500.0,-0.014179325463390846,0.007936992619677823,70.96695823669434,70.1819874572754,,53.26358225052701,0.1926710488711052,0.1873503632970583,71.20347794900738,74.18529915172051,45.7140474328504,65.71426999429569,72.37784871555857,69.5560677578301,-9137800.0,0
2018-04-13,70.64067077636719,71.26967607943864,70.45721200716613,70.79792210213505,934700.0,0.0026041246501746773,0.007858287506323015,70.9403133392334,70.14927795410156,,61.72661725863321,0.14120417354108383,0.17812112534586338,71.18140707949208,74.15002921763741,51.16914849381326,57.57573737479854,72.3548977738285,69.5257289046383,-8203100.0,0
2018-04-16,72.17823028564453,72.51020230638196,71.50554154380211,71.63658541112434,1254200.0,0.021765924535809056,0.00918651284412084,70.96040725708008,70.17043518066406,,67.03846349468819,0.22192627852638225,0.18688215598196717,71.2204981856157,74.13040932776684,89.86669373034732,62.24996321900367,72.43513369842235,69.48568081573781,-6948900.0,0
2018-04-17,73.44497680664062,73.7769488485721,72.33548621150427,72.53641437774729,1032200.0,0.017550257411174552,0.009765610044677877,71.07179412841796,70.2277035522461,,69.42522989699933,0.3836920230982912,0.226244129405232,71.30773264134217,74.12358910367604,91.03777684693138,77.35787302369732,72.91794906688605,69.22563918994987,-5916700.0,0
2018-04-18,73.10429382324219,73.89055070361111,73.10429382324219,73.49741893084122,959400.0,-0.004638615167588123,0.009645004941351338,71.17051467895507,70.31987091064452,,64.49389036926183,0.4788820177698909,0.2767717070781638,71.37818602102453,74.11344686207968,79.40510950051936,86.7698600259327,73.22872719124095,69.1123021666692,-6876100.0,0
2018-04-19,73.08680725097656,73.29647348145886,72.64126067917854,72.9732327662063,896800.0,-0.00023920034448188243,0.009634522642035535,71.29325828552246,70.40199111938476,,59.973994152100055,0.5466087882547157,0.3307391233134742,71.4451907751403,74.10323154256622,78.94707339296527,83.12998658013868,73.50342253105123,69.08309403999368,-7772900.0,0
2018-04-20,73.09552764892578,73.27898640620131,72.65871917965026,73.11300372019105,834600.0,0.00011931562312295085,0.009449949044062603,71.44701461791992,70.50175811767578,,68.29664955389488,0.5941375571233323,0.38341881007544587,71.50990986822994,74.09320463815189,79.17549192304132,79.17589160550865,73.71152862221868,69.18250061362116,-6938300.0,0
2018-04-23,73.62843322753906,73.63717126301894,72.66745594496565,73.06931892985386,575500.0,0.0072905360389872165,0.009215852660706285,71.6676025390625,70.6453810119629,,71.31154973132391,0.6671153845066726,0.44015812496169127,71.59298921565383,74.08858004700151,93.13420225312224,83.7522558563763,73.87615544982285,69.45904962830215,-6362800.0,0
2018-04-24,74.05648803710938,74.46708897089242,73.41001351645458,73.84682188598262,828200.0,0.005813716125772528,0.008666614827740384,71.88163833618164,70.7647169494629,,72.97308233104383,0.7508361128837606,0.5022937225461052,71.68959701257366,74.08826072352001,90.65598399721597,87.65522605779319,74.14719872239154,69.61607794997174,-5534600.0,0
2018-04-25,74.03900909423828,74.45834800762202,73.39253465688903,73.85555040249724,504300.0,-0.0002360217630403838,0.008625294119836258,72.05898056030273,70.88405288696289,,69.18592178969509,0.8064784076181581,0.5631306595605158,71.78173081969776,74.08777065755702,90.18018018019096,91.32345547684308,74.41985615254964,69.69810496805582,-6038900.0,0
2018-04-26,75.03495025634766,75.15725608138945,73.66337207680684,74.36226821861783,679900.0,0.01345157335698155,0.008788420255700362,72.2642807006836,71.00845596313476,,75.35127852220991,0.9203304587878023,0.6345706194059731,71.90930805250755,74.09719533018179,97.57786872359632,92.80467763366777,74.90850747117771,69.62005393018948,-5359000.0,0
2018-04-27,75.8124771118164,75.99593586969881,74.96506761219179,75.0174891609927,936500.0,0.010362195920866624,0.008909999037142484,72.46739616394044,71.15609741210938,,77.29424722388893,1.0610676217212216,0.7198700198690229,72.06237350581378,74.11426281059607,96.8842941189493,94.88078100757888,75.53546465225105,69.39932767562982,-4422500.0,0
2018-04-30,75.63776397705078,76.17067089800074,75.45430520076508,75.92605919628646,745400.0,-0.002304543281285154,0.00877229452272488,72.70240058898926,71.27613265991211,,78.5885754757781,1.1453026118818173,0.8049565382715818,72.20258489684268,74.1294220261827,91.21040249178887,95.22418844477818,75.98933181733014,69.41546936064839,-5167900.0,0
2018-05-01,75.6814193725586,75.82993929092228,75.2271415789081,75.46301517721051,571400.0,0.0005771640145397772,0.008196556842166422,72.94133377075195,71.38323760986329,,78.6905067614282,1.2017292868700054,0.8843110879912665,72.33900977824331,74.14486478584813,91.93044072077534,93.34171244383784,76.36916583959727,69.51350170190663,-4596500.0,0
2018-05-02,75.33200073242188,75.74259514488105,74.74667224667033,75.53292892030224,916600.0,-0.004616967322145893,0.00833566051610173,73.16105003356934,71.4947117614746,,86.51887296058746,1.2043694479823728,0.9483227599894878,72.45638197252482,74.156677083824,85.32114815905587,89.48733045720671,76.61138312274787,69.71071694439081,-5513100.0,0
2018-05-03,74.51079559326172,75.52418785911729,73.47992725470912,75.14853227815739,1107400.0,-0.01090114600934422,0.008856278260936266,73.29995498657226,71.60723358154297,,76.46385527712015,1.1272037004538475,0.9840989480823598,72.53694721255373,74.16020065108208,64.41952240305778,80.55703709429633,76.73180335027418,69.86810662287034,-6620500.0,0
